Timesteps  Total_Iterations  Iterations  Convergence  
1  3  3  0  
2  6  3  0  
3  9  3  0  
4  12  3  0  
5  15  3  0  
6  18  3  0  
7  21  3  0  
8  24  3  0  
9  27  3  0  
10  30  3  0  
11  33  3  0  
12  36  3  0  
13  39  3  0  
14  42  3  0  
15  45  3  0  
16  48  3  0  
17  51  3  0  
18  54  3  0  
19  57  3  0  
20  60  3  0  
21  63  3  0  
22  66  3  0  
23  69  3  0  
24  72  3  0  
25  75  3  0  
26  78  3  0  
27  81  3  0  
28  84  3  0  
29  87  3  0  
30  90  3  0  
31  93  3  0  
32  96  3  0  
33  99  3  0  
34  102  3  0  
35  105  3  0  
36  108  3  0  
37  111  3  0  
38  114  3  0  
39  117  3  0  
40  120  3  0  
41  123  3  0  
42  126  3  0  
43  129  3  0  
44  132  3  0  
45  135  3  0  
46  138  3  0  
47  141  3  0  
48  144  3  0  
49  147  3  0  
50  150  3  0  
51  153  3  0  
52  156  3  0  
53  159  3  0  
54  162  3  0  
55  165  3  0  
56  168  3  0  
57  171  3  0  
58  174  3  0  
59  177  3  0  
60  180  3  0  
61  183  3  0  
62  186  3  0  
63  189  3  0  
64  192  3  0  
65  195  3  0  
66  198  3  0  
67  201  3  0  
68  204  3  0  
69  207  3  0  
70  210  3  0  
71  213  3  0  
72  216  3  0  
73  219  3  0  
74  222  3  0  
75  225  3  0  
76  228  3  0  
77  231  3  0  
78  234  3  0  
79  237  3  0  
80  240  3  0  
81  243  3  0  
82  246  3  0  
83  249  3  0  
84  252  3  0  
85  255  3  0  
86  258  3  0  
87  261  3  0  
88  264  3  0  
89  267  3  0  
90  270  3  0  
91  273  3  0  
92  276  3  0  
93  279  3  0  
94  282  3  0  
95  285  3  0  
96  288  3  0  
97  291  3  0  
98  294  3  0  
99  297  3  0  
100  300  3  0  
101  303  3  0  
102  306  3  0  
103  309  3  0  
104  312  3  0  
105  315  3  0  
106  318  3  0  
107  321  3  0  
108  324  3  0  
109  327  3  0  
110  330  3  0  
111  333  3  0  
112  336  3  0  
113  339  3  0  
114  342  3  0  
115  345  3  0  
116  348  3  0  
117  351  3  0  
118  354  3  0  
119  357  3  0  
120  360  3  0  
121  363  3  0  
122  366  3  0  
123  369  3  0  
124  372  3  0  
125  375  3  0  
126  378  3  0  
127  381  3  0  
128  384  3  0  
129  387  3  0  
130  390  3  0  
131  393  3  0  
132  396  3  0  
133  399  3  0  
134  402  3  0  
135  405  3  0  
136  408  3  0  
137  411  3  0  
138  414  3  0  
139  417  3  0  
140  420  3  0  
141  423  3  0  
142  426  3  0  
143  429  3  0  
144  432  3  0  
145  435  3  0  
146  438  3  0  
147  441  3  0  
148  444  3  0  
149  447  3  0  
150  450  3  0  
151  453  3  0  
152  456  3  0  
153  459  3  0  
154  462  3  0  
155  465  3  0  
156  468  3  0  
157  471  3  0  
158  474  3  0  
159  477  3  0  
160  480  3  0  
161  483  3  0  
162  486  3  0  
163  489  3  0  
164  492  3  0  
165  495  3  0  
166  498  3  0  
167  501  3  0  
168  504  3  0  
169  507  3  0  
170  510  3  0  
171  513  3  0  
172  516  3  0  
173  519  3  0  
174  522  3  0  
175  525  3  0  
176  528  3  0  
177  531  3  0  
178  534  3  0  
179  537  3  0  
180  540  3  0  
181  543  3  0  
182  546  3  0  
183  549  3  0  
184  552  3  0  
185  555  3  0  
186  558  3  0  
187  561  3  0  
188  564  3  0  
189  567  3  0  
190  570  3  0  
191  573  3  0  
192  576  3  0  
193  579  3  0  
194  582  3  0  
195  585  3  0  
196  588  3  0  
197  591  3  0  
198  594  3  0  
199  597  3  0  
200  600  3  0  
201  603  3  0  
202  606  3  0  
203  609  3  0  
204  612  3  0  
205  615  3  0  
206  618  3  0  
207  621  3  0  
208  624  3  0  
209  627  3  0  
210  630  3  0  
211  633  3  0  
212  636  3  0  
213  639  3  0  
214  642  3  0  
215  645  3  0  
216  648  3  0  
217  651  3  0  
218  654  3  0  
219  657  3  0  
220  660  3  0  
221  663  3  0  
222  666  3  0  
223  669  3  0  
224  672  3  0  
225  675  3  0  
226  678  3  0  
227  681  3  0  
228  684  3  0  
229  687  3  0  
230  690  3  0  
231  693  3  0  
232  696  3  0  
233  699  3  0  
234  702  3  0  
235  705  3  0  
236  708  3  0  
237  711  3  0  
238  714  3  0  
239  717  3  0  
240  720  3  0  
241  723  3  0  
242  726  3  0  
243  729  3  0  
244  732  3  0  
245  735  3  0  
246  738  3  0  
247  741  3  0  
248  744  3  0  
249  747  3  0  
250  750  3  0  
251  753  3  0  
252  756  3  0  
253  759  3  0  
254  762  3  0  
255  765  3  0  
256  768  3  0  
257  771  3  0  
258  774  3  0  
259  777  3  0  
260  780  3  0  
261  783  3  0  
262  786  3  0  
263  789  3  0  
264  792  3  0  
265  795  3  0  
266  798  3  0  
267  801  3  0  
268  804  3  0  
269  807  3  0  
270  810  3  0  
271  813  3  0  
272  816  3  0  
273  819  3  0  
274  822  3  0  
275  825  3  0  
276  828  3  0  
277  831  3  0  
278  834  3  0  
279  837  3  0  
280  840  3  0  
281  843  3  0  
282  846  3  0  
283  849  3  0  
284  852  3  0  
285  855  3  0  
286  858  3  0  
287  861  3  0  
288  864  3  0  
289  867  3  0  
290  870  3  0  
291  873  3  0  
292  876  3  0  
293  879  3  0  
294  882  3  0  
295  885  3  0  
296  888  3  0  
297  891  3  0  
298  894  3  0  
299  897  3  0  
300  900  3  0  
301  903  3  0  
302  906  3  0  
303  909  3  0  
304  912  3  0  
305  915  3  0  
306  918  3  0  
307  921  3  0  
308  924  3  0  
309  927  3  0  
310  930  3  0  
311  933  3  0  
312  936  3  0  
313  939  3  0  
314  942  3  0  
315  945  3  0  
316  948  3  0  
317  951  3  0  
318  954  3  0  
319  957  3  0  
320  960  3  0  
321  963  3  0  
322  966  3  0  
323  969  3  0  
324  972  3  0  
325  975  3  0  
326  978  3  0  
327  981  3  0  
328  984  3  0  
329  987  3  0  
330  990  3  0  
331  993  3  0  
332  996  3  0  
333  999  3  0  
334  1002  3  0  
335  1005  3  0  
336  1008  3  0  
337  1011  3  0  
338  1014  3  0  
339  1017  3  0  
340  1020  3  0  
341  1023  3  0  
342  1026  3  0  
343  1029  3  0  
344  1032  3  0  
345  1035  3  0  
346  1038  3  0  
347  1041  3  0  
348  1044  3  0  
349  1047  3  0  
350  1050  3  0  
351  1053  3  0  
352  1056  3  0  
353  1059  3  0  
354  1062  3  0  
355  1065  3  0  
356  1068  3  0  
357  1071  3  0  
358  1074  3  0  
359  1077  3  0  
360  1080  3  0  
361  1083  3  0  
362  1086  3  0  
363  1089  3  0  
364  1092  3  0  
365  1095  3  0  
366  1098  3  0  
367  1101  3  0  
368  1104  3  0  
369  1107  3  0  
370  1110  3  0  
371  1113  3  0  
372  1116  3  0  
373  1119  3  0  
374  1122  3  0  
375  1125  3  0  
376  1128  3  0  
377  1131  3  0  
378  1134  3  0  
379  1137  3  0  
380  1140  3  0  
381  1143  3  0  
382  1146  3  0  
383  1149  3  0  
384  1152  3  0  
385  1155  3  0  
386  1158  3  0  
387  1161  3  0  
388  1164  3  0  
389  1167  3  0  
390  1170  3  0  
391  1173  3  0  
392  1176  3  0  
393  1179  3  0  
394  1182  3  0  
395  1185  3  0  
396  1188  3  0  
397  1191  3  0  
398  1194  3  0  
399  1197  3  0  
400  1200  3  0  
401  1203  3  0  
402  1206  3  0  
403  1209  3  0  
404  1212  3  0  
405  1215  3  0  
406  1218  3  0  
407  1221  3  0  
408  1224  3  0  
409  1227  3  0  
410  1230  3  0  
411  1233  3  0  
412  1236  3  0  
413  1239  3  0  
414  1242  3  0  
415  1245  3  0  
416  1248  3  0  
417  1251  3  0  
418  1254  3  0  
419  1257  3  0  
420  1260  3  0  
421  1263  3  0  
422  1266  3  0  
423  1269  3  0  
424  1272  3  0  
425  1275  3  0  
426  1278  3  0  
427  1281  3  0  
428  1284  3  0  
429  1287  3  0  
430  1290  3  0  
431  1293  3  0  
432  1296  3  0  
433  1299  3  0  
434  1302  3  0  
435  1305  3  0  
436  1308  3  0  
437  1311  3  0  
438  1314  3  0  
439  1317  3  0  
440  1320  3  0  
441  1323  3  0  
442  1326  3  0  
443  1329  3  0  
444  1332  3  0  
445  1335  3  0  
446  1338  3  0  
447  1341  3  0  
448  1344  3  0  
449  1347  3  0  
450  1350  3  0  
451  1353  3  0  
452  1356  3  0  
453  1359  3  0  
454  1362  3  0  
455  1365  3  0  
456  1368  3  0  
457  1371  3  0  
458  1374  3  0  
459  1377  3  0  
460  1380  3  0  
461  1383  3  0  
462  1386  3  0  
463  1389  3  0  
464  1392  3  0  
465  1395  3  0  
466  1398  3  0  
467  1401  3  0  
468  1404  3  0  
